Name,AveragePay
Oprns Resrch Anlyst,50004.93
Mechanical Engineer,28984.27
Ops Ind Engr Area,66160
Coding,53134.07
Ordnance Equipment Mechanic,60779
Dstd Sys Sup Spc Sr,52584.29
Labor Relations Spc,30154.57
Pse Sfs Clk,32010
Fac Cust Srv Rep,57724
Telecommunications Mechanic,57981.29
Geodetic Technician,79947.86
Misc General Equipment Maintenance,46663.57
Fac Comm Tech,71425.64
Elevator Oper,46897
Sr Ntwrk Oprn Anlys,54536.86
Ops Ind Engr (hq),59979.86
Postal Ops Anlst Fa,52505.64
It Clnt Sup Spc Sup,78659.79
Autopsy Assistant,37627.62
Wood Working,50514.62
Info Syst Sec Spec,35706.08
Project Mgr (fac),15447.15
Mgr Mail Proc Oprns,75402.23
Info Clk,57987
Acct Spec Sr,69612.69
Postmaster (1),35518.62
Laboratory Support Working,42115.23
Small Engine Mechanic,49828.38
Powered Support Systems Mechanic,65071.77
Photographic Technology,123085
Cptr Sys Scheduler,78509.46
Acct Supp Spec Sr,71047.08
P/m Bus Sys Solutio,32423.54
Cord Sfc Trans Ctr,67539.31
Materials Examining And Identifying,49998.67
Miscellaneous Machine Tool Work,69793.58
Forklift Operator,55855.83
Classification Spcl,39861.58
Cptr Ops Suppt Spec,58161.75
Mgr Eeo Ds Res (ao),78708.75
Network Oper Spec,72963.5
Tech Systems Supv,23303.75
Lock And Dam Repairing,71385.5
Manual Arts Therapist,67628.5
Bud/fin Anlst Area,74285.5
Dep Mng Cnsl (fld),55306.42
Pse Auto Tech,34755
Deckhand,46459.64
Mgr Veh Main Fac,86565.09
Facilities Prgms An,64337.64
Unix Sys Admin Prin,30228.27
Tacs Support Anly,57669.55
Pricing Economist,24620
Prog Mgr Tech Acqsn,32998.36
Mgr Ml Proc Oper,76209.36
Sr Plant Mgr (3),30739.27
Packaging,82079.82
Patent Adviser,133730.45
Mail Equip Handler,56222
Ml Order Entry Clk,56791
Insurance Accounts,40761.8
District Comm Coord,73999.2
Enterprise Acc Dir,58668.3
Mail Class Clk Msc,58616
Label Prntng Tech,52080.4
Second Assistant Engineer,75142.9
Prod Dev Spec Sr,50168.4
Qlty Asr/cn Anls Sr,71760.8
Govt Relations Rep,72238.5
Operations Spec,73509.3
Accountant,71385.8
Schd Exam Vehl Runs,59064.4
Tour Supt Pstl Oper,75225.2
Barbering,
Bus Sys Analyst Pr,53127.78
Info Sys Spec,81749.89
Gov Relations Anlys,75937
Info Sys Sec Spec,54032
Sales Anlysis Spec,66507.11
Info Sciences Spcls,19939.56
Inventor Cntrl Spec,71822.11
